,Team_1,Team_2,Winner,Margin,Ground,Match Date
247,Sri Lanka,Zimbabwe,Sri Lanka,59 runs,Colombo (RPS),"Dec 12, 2001"
248,Sri Lanka,West Indies,Sri Lanka,8 wickets,Kandy,"Dec 15, 2001"
249,West Indies,Zimbabwe,West Indies,8 wickets,Kandy,"Dec 16, 2001"
250,Sri Lanka,West Indies,Sri Lanka,34 runs,Colombo (RPS),"Dec 19, 2001"
251,Australia,New Zealand,New Zealand,23 runs,Melbourne,"Jan 11, 2002"
252,Australia,South Africa,South Africa,4 wickets,Melbourne,"Jan 13, 2002"
253,New Zealand,South Africa,South Africa,26 runs,Hobart,"Jan 15, 2002"
254,Australia,New Zealand,New Zealand,23 runs,Sydney,"Jan 17, 2002"
255,New Zealand,South Africa,New Zealand,4 wickets,Brisbane,"Jan 19, 2002"
256,India,England,India,22 runs,Eden Gardens,"Jan 19, 2002"
257,Australia,South Africa,Australia,27 runs,Brisbane,"Jan 20, 2002"
258,Bangladesh,Pakistan,Pakistan,49 runs,Chattogram,"Jan 22, 2002"
259,Australia,South Africa,Australia,8 wickets,Sydney,"Jan 22, 2002"
260,India,England,England,16 runs,Cuttack,"Jan 22, 2002"
261,Bangladesh,Pakistan,Pakistan,72 runs,Dhaka,"Jan 24, 2002"
262,Bangladesh,Pakistan,Pakistan,8 wickets,Dhaka,"Jan 25, 2002"
263,India,England,India,4 wickets,Chennai,"Jan 25, 2002"
264,Australia,New Zealand,New Zealand,77 runs,Adelaide,"Jan 26, 2002"
265,New Zealand,South Africa,South Africa,93 runs,Adelaide,"Jan 27, 2002"
266,India,England,India,8 wickets,Kanpur,"Jan 28, 2002"
267,Australia,New Zealand,Australia,2 wickets,Melbourne,"Jan 29, 2002"
268,India,England,England,2 runs,Delhi,"Jan 31, 2002"
269,New Zealand,South Africa,South Africa,67 runs,Perth,"Feb 1, 2002"
270,Australia,South Africa,Australia,33 runs,Perth,"Feb 3, 2002"
271,India,England,England,5 runs,Wankhede,"Feb 3, 2002"
272,New Zealand,South Africa,South Africa,8 wickets,Melbourne,"Feb 6, 2002"
273,New Zealand,South Africa,South Africa,6 wickets,Sydney,"Feb 8, 2002"
274,New Zealand,England,New Zealand,4 wickets,Christchurch,"Feb 13, 2002"
275,Pakistan,West Indies,Pakistan,4 wickets,Sharjah,"Feb 14, 2002"
276,Pakistan,West Indies,Pakistan,51 runs,Sharjah,"Feb 15, 2002"
277,New Zealand,England,New Zealand,155 runs,Wellington,"Feb 16, 2002"
278,Pakistan,West Indies,West Indies,110 runs,Sharjah,"Feb 17, 2002"
279,New Zealand,England,England,43 runs,Napier,"Feb 20, 2002"
280,New Zealand,England,England,33 runs,Auckland,"Feb 23, 2002"
281,New Zealand,England,New Zealand,5 wickets,Dunedin,"Feb 26, 2002"
282,India,Zimbabwe,Zimbabwe,1 wicket,Faridabad,"Mar 7, 2002"
283,India,Zimbabwe,India,64 runs,Mohali,"Mar 10, 2002"
284,India,Zimbabwe,Zimbabwe,6 wickets,Kochi,"Mar 13, 2002"
285,India,Zimbabwe,India,5 wickets,Hyderabad (Deccan),"Mar 16, 2002"
286,India,Zimbabwe,India,101 runs,Guwahati,"Mar 19, 2002"
287,South Africa,Australia,Australia,19 runs,Johannesburg,"Mar 22, 2002"
288,South Africa,Australia,Australia,45 runs,Centurion,"Mar 24, 2002"
289,South Africa,Australia,tied,-,Potchefstroom,"Mar 27, 2002"
290,South Africa,Australia,Australia,37 runs,Bloemfontein,"Mar 30, 2002"
291,South Africa,Australia,Australia,8 wickets,Durban,"Apr 3, 2002"
292,South Africa,Australia,Australia,3 wickets,Gqeberha,"Apr 6, 2002"
293,Pakistan,Sri Lanka,Sri Lanka,41 runs,Sharjah,"Apr 8, 2002"
294,New Zealand,Sri Lanka,New Zealand,11 runs,Sharjah,"Apr 9, 2002"
295,South Africa,Australia,South Africa,65 runs,Cape Town,"Apr 9, 2002"
296,New Zealand,Pakistan,Pakistan,51 runs,Sharjah,"Apr 11, 2002"
297,Pakistan,Sri Lanka,Sri Lanka,9 runs,Sharjah,"Apr 12, 2002"
298,New Zealand,Sri Lanka,Sri Lanka,46 runs,Sharjah,"Apr 14, 2002"
299,New Zealand,Pakistan,Pakistan,8 wickets,Sharjah,"Apr 15, 2002"
300,Pakistan,Sri Lanka,Pakistan,217 runs,Sharjah,"Apr 17, 2002"
301,Pakistan,New Zealand,Pakistan,153 runs,Karachi,"Apr 21, 2002"
